,run_id,player_id,place,speedrun_time,is_verified,verify_date,submitted_date,examiner_id,timing_type,platform_id,platform_name,platform_released_year,is_level_cat,level_id,level_name,level_rules,game_id,category_id,cat_name,cat_rules,player_name,player_country,player_pronouns,player_signup_date,verify_shortDate,verify_day,verify_month,verify_year,verify_hour,submitted_shortDate,submitted_day,submitted_month,submitted_year,submitted_hour,player_signup_shortDate,player_signup_day,player_signup_month,player_signup_year,player_signup_hour
10,me46q12y,8enlor28,11,124.0,True,2021-08-23 12:36:04,2021-08-21 19:24:06,x35dv12j,realtime,8gejn93d,Wii U,2012,False,nan,nan,nan,mce,zd3vpoe2,Set Seed Any%,"## Set Seed Any% Reach the End Poem as quickly as possible. - [World Creation Settings and Rules.](https://www.speedrun.com/mce/thread/71azs) - When creating the world, you must **show all World Settings** before you press ""Create World"". - **All** World and Biome Sizes are allowed. - Timing uses the RTA with Set Loads which adds a certain amount of time for certain actions done in-game. - Time ends on the first frame of the end-game credits appearing on screen. - Pausing the game, leaving the world, or opening the console's home menu does not pause the timer. - **Using the map that you spawn with is allowed and encouraged.** ___ - **Set Seed** - The ""Seed for the World Generator"" textbox must be filled with a seed.",0wen,us,nan,2021-03-03 02:51:34,2021-08-23,23.0,8.0,2021.0,12.0,2021-08-21,21,8,2021,19,2021-03-03,3,3,2021,2
11,y80xvx1m,816yw53x,12,126.0,True,2023-02-11 08:00:41,2023-02-05 05:26:07,v8le49vx,realtime,8gejn93d,Wii U,2012,False,nan,nan,nan,mce,zd3vpoe2,Set Seed Any%,"## Set Seed Any% Reach the End Poem as quickly as possible. - [World Creation Settings and Rules.](https://www.speedrun.com/mce/thread/71azs) - When creating the world, you must **show all World Settings** before you press ""Create World"". - **All** World and Biome Sizes are allowed. - Timing uses the RTA with Set Loads which adds a certain amount of time for certain actions done in-game. - Time ends on the first frame of the end-game credits appearing on screen. - Pausing the game, leaving the world, or opening the console's home menu does not pause the timer. - **Using the map that you spawn with is allowed and encouraged.** ___ - **Set Seed** - The ""Seed for the World Generator"" textbox must be filled with a seed.",Tutterey,au,He/Him,2021-03-08 19:37:05,2023-02-11,11.0,2.0,2023.0,8.0,2023-02-05,5,2,2023,5,2021-03-08,8,3,2021,19
12,m3x34gdm,8ged1l7j,13,130.0,True,2023-02-16 12:37:10,2022-09-08 11:15:56,xz995g08,realtime,8gejn93d,Wii U,2012,False,nan,nan,nan,mce,zd3vpoe2,Set Seed Any%,"## Set Seed Any% Reach the End Poem as quickly as possible. - [World Creation Settings and Rules.](https://www.speedrun.com/mce/thread/71azs) - When creating the world, you must **show all World Settings** before you press ""Create World"". - **All** World and Biome Sizes are allowed. - Timing uses the RTA with Set Loads which adds a certain amount of time for certain actions done in-game. - Time ends on the first frame of the end-game credits appearing on screen. - Pausing the game, leaving the world, or opening the console's home menu does not pause the timer. - **Using the map that you spawn with is allowed and encouraged.** ___ - **Set Seed** - The ""Seed for the World Generator"" textbox must be filled with a seed.",xdalesioYT,gr,nan,2020-10-28 18:53:25,2023-02-16,16.0,2.0,2023.0,12.0,2022-09-08,8,9,2022,11,2020-10-28,28,10,2020,18
13,me3vq33z,8d4zvk98,14,135.0,True,2022-04-10 17:51:02,2022-04-08 14:28:26,xk4o37kj,realtime,nzelkr6q,PlayStation 4,2013,False,nan,nan,nan,mce,zd3vpoe2,Set Seed Any%,"## Set Seed Any% Reach the End Poem as quickly as possible. - [World Creation Settings and Rules.](https://www.speedrun.com/mce/thread/71azs) - When creating the world, you must **show all World Settings** before you press ""Create World"". - **All** World and Biome Sizes are allowed. - Timing uses the RTA with Set Loads which adds a certain amount of time for certain actions done in-game. - Time ends on the first frame of the end-game credits appearing on screen. - Pausing the game, leaving the world, or opening the console's home menu does not pause the timer. - **Using the map that you spawn with is allowed and encouraged.** ___ - **Set Seed** - The ""Seed for the World Generator"" textbox must be filled with a seed.",Ma_ehy,it,He/Him,2022-01-14 12:47:32,2022-04-10,10.0,4.0,2022.0,17.0,2022-04-08,8,4,2022,14,2022-01-14,14,1,2022,12
14,mkd6ngvy,j400ylm8,14,135.0,True,2022-11-19 19:04:58,2022-11-19 18:54:10,xz995g08,realtime,7m6ylw9p,Switch,2017,False,nan,nan,nan,mce,zd3vpoe2,Set Seed Any%,"## Set Seed Any% Reach the End Poem as quickly as possible. - [World Creation Settings and Rules.](https://www.speedrun.com/mce/thread/71azs) - When creating the world, you must **show all World Settings** before you press ""Create World"". - **All** World and Biome Sizes are allowed. - Timing uses the RTA with Set Loads which adds a certain amount of time for certain actions done in-game. - Time ends on the first frame of the end-game credits appearing on screen. - Pausing the game, leaving the world, or opening the console's home menu does not pause the timer. - **Using the map that you spawn with is allowed and encouraged.** ___ - **Set Seed** - The ""Seed for the World Generator"" textbox must be filled with a seed.",zenfect,tr,nan,2022-09-19 14:47:05,2022-11-19,19.0,11.0,2022.0,19.0,2022-11-19,19,11,2022,18,2022-09-19,19,9,2022,14
15,yjpl8g7y,8ge42o7j,16,138.0,True,2022-04-30 05:26:13,2022-04-29 04:31:56,v8le49vx,realtime,nzelkr6q,PlayStation 4,2013,False,nan,nan,nan,mce,zd3vpoe2,Set Seed Any%,"## Set Seed Any% Reach the End Poem as quickly as possible. - [World Creation Settings and Rules.](https://www.speedrun.com/mce/thread/71azs) - When creating the world, you must **show all World Settings** before you press ""Create World"". - **All** World and Biome Sizes are allowed. - Timing uses the RTA with Set Loads which adds a certain amount of time for certain actions done in-game. - Time ends on the first frame of the end-game credits appearing on screen. - Pausing the game, leaving the world, or opening the console's home menu does not pause the timer. - **Using the map that you spawn with is allowed and encouraged.** ___ - **Set Seed** - The ""Seed for the World Generator"" textbox must be filled with a seed.",cheg,vh,Any/All,2020-09-24 22:37:42,2022-04-30,30.0,4.0,2022.0,5.0,2022-04-29,29,4,2022,4,2020-09-24,24,9,2020,22
16,z07w9l4y,jo310rlj,17,139.0,True,2021-07-25 05:35:15,2021-07-25 04:13:11,xz995g08,realtime,nzelyv9q,Xbox Series X,2020,False,nan,nan,nan,mce,zd3vpoe2,Set Seed Any%,"## Set Seed Any% Reach the End Poem as quickly as possible. - [World Creation Settings and Rules.](https://www.speedrun.com/mce/thread/71azs) - When creating the world, you must **show all World Settings** before you press ""Create World"". - **All** World and Biome Sizes are allowed. - Timing uses the RTA with Set Loads which adds a certain amount of time for certain actions done in-game. - Time ends on the first frame of the end-game credits appearing on screen. - Pausing the game, leaving the world, or opening the console's home menu does not pause the timer. - **Using the map that you spawn with is allowed and encouraged.** ___ - **Set Seed** - The ""Seed for the World Generator"" textbox must be filled with a seed.",UtterEvergreen1,ca,He/Him,2020-05-22 22:55:49,2021-07-25,25.0,7.0,2021.0,5.0,2021-07-25,25,7,2021,4,2020-05-22,22,5,2020,22
17,mkk2kjxm,8e6qdv7j,18,142.0,True,2022-04-23 17:10:25,2022-04-23 01:17:49,v8le49vx,realtime,mx6pwe3g,PlayStation 3,2006,False,nan,nan,nan,mce,zd3vpoe2,Set Seed Any%,"## Set Seed Any% Reach the End Poem as quickly as possible. - [World Creation Settings and Rules.](https://www.speedrun.com/mce/thread/71azs) - When creating the world, you must **show all World Settings** before you press ""Create World"". - **All** World and Biome Sizes are allowed. - Timing uses the RTA with Set Loads which adds a certain amount of time for certain actions done in-game. - Time ends on the first frame of the end-game credits appearing on screen. - Pausing the game, leaving the world, or opening the console's home menu does not pause the timer. - **Using the map that you spawn with is allowed and encouraged.** ___ - **Set Seed** - The ""Seed for the World Generator"" textbox must be filled with a seed.",AeonIsInvalid,aq,He/Him,2022-02-18 05:17:38,2022-04-23,23.0,4.0,2022.0,17.0,2022-04-23,23,4,2022,1,2022-02-18,18,2,2022,5
18,yde8pvqm,xkol1r28,19,144.0,True,2021-07-28 12:23:32,2021-07-27 22:27:14,xz995g08,realtime,mx6pwe3g,PlayStation 3,2006,False,nan,nan,nan,mce,zd3vpoe2,Set Seed Any%,"## Set Seed Any% Reach the End Poem as quickly as possible. - [World Creation Settings and Rules.](https://www.speedrun.com/mce/thread/71azs) - When creating the world, you must **show all World Settings** before you press ""Create World"". - **All** World and Biome Sizes are allowed. - Timing uses the RTA with Set Loads which adds a certain amount of time for certain actions done in-game. - Time ends on the first frame of the end-game credits appearing on screen. - Pausing the game, leaving the world, or opening the console's home menu does not pause the timer. - **Using the map that you spawn with is allowed and encouraged.** ___ - **Set Seed** - The ""Seed for the World Generator"" textbox must be filled with a seed.",redspec,ca,"He/Him, They/Them",2020-11-12 01:29:09,2021-07-28,28.0,7.0,2021.0,12.0,2021-07-27,27,7,2021,22,2020-11-12,12,11,2020,1
19,ywjvvx3z,xy5qrwn8,20,152.0,True,2022-02-01 19:12:11,2022-01-29 23:56:15,xk4o37kj,realtime,7m6ylw9p,Switch,2017,False,nan,nan,nan,mce,zd3vpoe2,Set Seed Any%,"## Set Seed Any% Reach the End Poem as quickly as possible. - [World Creation Settings and Rules.](https://www.speedrun.com/mce/thread/71azs) - When creating the world, you must **show all World Settings** before you press ""Create World"". - **All** World and Biome Sizes are allowed. - Timing uses the RTA with Set Loads which adds a certain amount of time for certain actions done in-game. - Time ends on the first frame of the end-game credits appearing on screen. - Pausing the game, leaving the world, or opening the console's home menu does not pause the timer. - **Using the map that you spawn with is allowed and encouraged.** ___ - **Set Seed** - The ""Seed for the World Generator"" textbox must be filled with a seed.",CatOnVenus,us,They/Them,2020-04-20 04:50:03,2022-02-01,1.0,2.0,2022.0,19.0,2022-01-29,29,1,2022,23,2020-04-20,20,4,2020,4
20,z1xv1rjm,8q30nk7j,21,155.0,True,2021-10-21 07:19:59,2021-10-20 17:37:16,xz995g08,realtime,mx6pwe3g,PlayStation 3,2006,False,nan,nan,nan,mce,zd3vpoe2,Set Seed Any%,"## Set Seed Any% Reach the End Poem as quickly as possible. - [World Creation Settings and Rules.](https://www.speedrun.com/mce/thread/71azs) - When creating the world, you must **show all World Settings** before you press ""Create World"". - **All** World and Biome Sizes are allowed. - Timing uses the RTA with Set Loads which adds a certain amount of time for certain actions done in-game. - Time ends on the first frame of the end-game credits appearing on screen. - Pausing the game, leaving the world, or opening the console's home menu does not pause the timer. - **Using the map that you spawn with is allowed and encouraged.** ___ - **Set Seed** - The ""Seed for the World Generator"" textbox must be filled with a seed.",karolptak5,pl,He/Him,2021-08-31 12:42:46,2021-10-21,21.0,10.0,2021.0,7.0,2021-10-20,20,10,2021,17,2021-08-31,31,8,2021,12
21,ywkevv9y,8v5ydv2j,22,196.0,True,2021-07-27 07:09:03,2021-07-26 09:00:35,xz995g08,realtime,nzelkr6q,PlayStation 4,2013,False,nan,nan,nan,mce,zd3vpoe2,Set Seed Any%,"## Set Seed Any% Reach the End Poem as quickly as possible. - [World Creation Settings and Rules.](https://www.speedrun.com/mce/thread/71azs) - When creating the world, you must **show all World Settings** before you press ""Create World"". - **All** World and Biome Sizes are allowed. - Timing uses the RTA with Set Loads which adds a certain amount of time for certain actions done in-game. - Time ends on the first frame of the end-game credits appearing on screen. - Pausing the game, leaving the world, or opening the console's home menu does not pause the timer. - **Using the map that you spawn with is allowed and encouraged.** ___ - **Set Seed** - The ""Seed for the World Generator"" textbox must be filled with a seed.",guccigang,ie,nan,2020-06-23 08:12:25,2021-07-27,27.0,7.0,2021.0,7.0,2021-07-26,26,7,2021,9,2020-06-23,23,6,2020,8
22,yvo47d4z,86ve9y0j,23,232.0,True,2021-07-28 12:19:11,2021-07-27 15:55:55,xz995g08,realtime,o7e2mx6w,Xbox One,2013,False,nan,nan,nan,mce,zd3vpoe2,Set Seed Any%,"## Set Seed Any% Reach the End Poem as quickly as possible. - [World Creation Settings and Rules.](https://www.speedrun.com/mce/thread/71azs) - When creating the world, you must **show all World Settings** before you press ""Create World"". - **All** World and Biome Sizes are allowed. - Timing uses the RTA with Set Loads which adds a certain amount of time for certain actions done in-game. - Time ends on the first frame of the end-game credits appearing on screen. - Pausing the game, leaving the world, or opening the console's home menu does not pause the timer. - **Using the map that you spawn with is allowed and encouraged.** ___ - **Set Seed** - The ""Seed for the World Generator"" textbox must be filled with a seed.",HenryThePotato,us,nan,2020-07-12 19:32:32,2021-07-28,28.0,7.0,2021.0,12.0,2021-07-27,27,7,2021,15,2020-07-12,12,7,2020,19
23,z0r0498z,86ve9y0j,24,283.0,True,2021-07-02 12:14:42,2021-06-29 18:34:54,xz995g08,realtime,nzelyv9q,Xbox Series X,2020,False,nan,nan,nan,mce,zd3vpoe2,Set Seed Any%,"## Set Seed Any% Reach the End Poem as quickly as possible. - [World Creation Settings and Rules.](https://www.speedrun.com/mce/thread/71azs) - When creating the world, you must **show all World Settings** before you press ""Create World"". - **All** World and Biome Sizes are allowed. - Timing uses the RTA with Set Loads which adds a certain amount of time for certain actions done in-game. - Time ends on the first frame of the end-game credits appearing on screen. - Pausing the game, leaving the world, or opening the console's home menu does not pause the timer. - **Using the map that you spawn with is allowed and encouraged.** ___ - **Set Seed** - The ""Seed for the World Generator"" textbox must be filled with a seed.",HenryThePotato,us,nan,2020-07-12 19:32:32,2021-07-02,2.0,7.0,2021.0,12.0,2021-06-29,29,6,2021,18,2020-07-12,12,7,2020,19
24,ywd2w52z,xz9vvw48,25,290.0,True,2020-12-24 06:44:16,2020-12-23 00:44:08,v8le49vx,realtime,nzelkr6q,PlayStation 4,2013,False,nan,nan,nan,mce,zd3vpoe2,Set Seed Any%,"## Set Seed Any% Reach the End Poem as quickly as possible. - [World Creation Settings and Rules.](https://www.speedrun.com/mce/thread/71azs) - When creating the world, you must **show all World Settings** before you press ""Create World"". - **All** World and Biome Sizes are allowed. - Timing uses the RTA with Set Loads which adds a certain amount of time for certain actions done in-game. - Time ends on the first frame of the end-game credits appearing on screen. - Pausing the game, leaving the world, or opening the console's home menu does not pause the timer. - **Using the map that you spawn with is allowed and encouraged.** ___ - **Set Seed** - The ""Seed for the World Generator"" textbox must be filled with a seed.",SnivyForSmash,us,nan,2020-08-05 02:44:06,2020-12-24,24.0,12.0,2020.0,6.0,2020-12-23,23,12,2020,0,2020-08-05,5,8,2020,2
25,y6x7d70y,8ge42o7j,26,302.0,True,2022-08-13 06:15:01,2022-08-02 03:58:59,v8le49vx,realtime,nzelkr6q,PlayStation 4,2013,False,nan,nan,nan,mce,zd3vpoe2,Set Seed Any%,"## Set Seed Any% Reach the End Poem as quickly as possible. - [World Creation Settings and Rules.](https://www.speedrun.com/mce/thread/71azs) - When creating the world, you must **show all World Settings** before you press ""Create World"". - **All** World and Biome Sizes are allowed. - Timing uses the RTA with Set Loads which adds a certain amount of time for certain actions done in-game. - Time ends on the first frame of the end-game credits appearing on screen. - Pausing the game, leaving the world, or opening the console's home menu does not pause the timer. - **Using the map that you spawn with is allowed and encouraged.** ___ - **Set Seed** - The ""Seed for the World Generator"" textbox must be filled with a seed.",cheg,vh,Any/All,2020-09-24 22:37:42,2022-08-13,13.0,8.0,2022.0,6.0,2022-08-02,2,8,2022,3,2020-09-24,24,9,2020,22
26,zqj1v75m,810ny9lx,27,329.0,True,2023-06-27 15:07:01,2023-06-10 06:18:36,8vk99p5j,realtime,mx6pwe3g,PlayStation 3,2006,False,nan,nan,nan,mce,zd3vpoe2,Set Seed Any%,"## Set Seed Any% Reach the End Poem as quickly as possible. - [World Creation Settings and Rules.](https://www.speedrun.com/mce/thread/71azs) - When creating the world, you must **show all World Settings** before you press ""Create World"". - **All** World and Biome Sizes are allowed. - Timing uses the RTA with Set Loads which adds a certain amount of time for certain actions done in-game. - Time ends on the first frame of the end-game credits appearing on screen. - Pausing the game, leaving the world, or opening the console's home menu does not pause the timer. - **Using the map that you spawn with is allowed and encouraged.** ___ - **Set Seed** - The ""Seed for the World Generator"" textbox must be filled with a seed.",Storch_NASCF,br,nan,2023-06-09 22:41:41,2023-06-27,27.0,6.0,2023.0,15.0,2023-06-10,10,6,2023,6,2023-06-09,9,6,2023,22
27,ydrdp2wz,81650klx,28,391.0,True,2021-05-28 17:17:32,2021-05-28 15:35:14,x7qey508,realtime,mx6pwe3g,PlayStation 3,2006,False,nan,nan,nan,mce,zd3vpoe2,Set Seed Any%,"## Set Seed Any% Reach the End Poem as quickly as possible. - [World Creation Settings and Rules.](https://www.speedrun.com/mce/thread/71azs) - When creating the world, you must **show all World Settings** before you press ""Create World"". - **All** World and Biome Sizes are allowed. - Timing uses the RTA with Set Loads which adds a certain amount of time for certain actions done in-game. - Time ends on the first frame of the end-game credits appearing on screen. - Pausing the game, leaving the world, or opening the console's home menu does not pause the timer. - **Using the map that you spawn with is allowed and encouraged.** ___ - **Set Seed** - The ""Seed for the World Generator"" textbox must be filled with a seed.",ertolaw,fi,He/Him,2021-03-23 15:23:07,2021-05-28,28.0,5.0,2021.0,17.0,2021-05-28,28,5,2021,15,2021-03-23,23,3,2021,15
28,y6d7ojpm,8l0zz548,29,393.0,True,2021-04-15 20:58:57,2021-04-15 14:42:13,v8le49vx,realtime,nzelkr6q,PlayStation 4,2013,False,nan,nan,nan,mce,zd3vpoe2,Set Seed Any%,"## Set Seed Any% Reach the End Poem as quickly as possible. - [World Creation Settings and Rules.](https://www.speedrun.com/mce/thread/71azs) - When creating the world, you must **show all World Settings** before you press ""Create World"". - **All** World and Biome Sizes are allowed. - Timing uses the RTA with Set Loads which adds a certain amount of time for certain actions done in-game. - Time ends on the first frame of the end-game credits appearing on screen. - Pausing the game, leaving the world, or opening the console's home menu does not pause the timer. - **Using the map that you spawn with is allowed and encouraged.** ___ - **Set Seed** - The ""Seed for the World Generator"" textbox must be filled with a seed.",Tonreeve,gb/sct,nan,2020-05-30 09:39:05,2021-04-15,15.0,4.0,2021.0,20.0,2021-04-15,15,4,2021,14,2020-05-30,30,5,2020,9
